Row ID,Order ID,product_id,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Sales,Quantity
18,CA-2014-167164,58155,5/13/14,5/15/14,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,55.5,2
19,CA-2014-143336,12251,8/27/14,9/1/14,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,8.56,2
20,CA-2014-143336,19662,8/27/14,9/1/14,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,213.48,3
21,CA-2014-143336,18203,8/27/14,9/1/14,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,22.72,4
22,CA-2016-137330,5864,12/9/16,12/13/16,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,19.46,7
23,CA-2016-137330,23316,12/9/16,12/13/16,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,60.34,7
24,US-2017-156909,20396,7/16/17,7/18/17,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,71.372,2
25,CA-2015-106320,14846,9/25/15,9/30/15,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,1044.63,3
26,CA-2016-121755,23095,1/16/16,1/20/16,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,11.648,2
27,CA-2016-121755,56162,1/16/16,1/20/16,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,90.57,3
28,US-2015-150630,44679,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,3083.43,7
29,US-2015-150630,28548,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,9.618,2
30,US-2015-150630,13867,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,124.2,3
31,US-2015-150630,19693,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,3.264,2
32,US-2015-150630,15565,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,86.304,6
33,US-2015-150630,22739,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,6.858,6
34,US-2015-150630,6825,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,15.76,2
35,CA-2017-107727,56870,10/19/17,10/23/17,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,29.472,3
36,CA-2016-117590,19499,12/8/16,12/10/16,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,1097.544,7
37,CA-2016-117590,15299,12/8/16,12/10/16,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,190.92,5
38,CA-2015-117415,54014,12/27/15,12/31/15,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,113.328,9
39,CA-2015-117415,38215,12/27/15,12/31/15,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,532.3992,3
40,CA-2015-117415,23911,12/27/15,12/31/15,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,212.058,3
41,CA-2015-117415,14477,12/27/15,12/31/15,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,371.168,4
42,CA-2017-120999,28657,9/10/17,9/15/17,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,147.168,4
43,CA-2016-101343,58732,7/17/16,7/22/16,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,77.88,2
44,CA-2017-139619,15185,9/19/17,9/23/17,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,95.616,2
45,CA-2016-118255,21246,3/11/16,3/13/16,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,45.98,2
46,CA-2016-118255,36290,3/11/16,3/13/16,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,17.46,2
47,CA-2014-146703,49784,10/20/14,10/25/14,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,211.96,4
48,CA-2016-169194,52442,6/20/16,6/25/16,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,45,3
49,CA-2016-169194,7739,6/20/16,6/25/16,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,21.8,2
50,CA-2015-115742,29580,4/18/15,4/22/15,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,38.22,6
51,CA-2015-115742,5464,4/18/15,4/22/15,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,75.18,6
52,CA-2015-115742,9460,4/18/15,4/22/15,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,6.16,2
53,CA-2015-115742,25569,4/18/15,4/22/15,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,89.99,1
54,CA-2016-105816,35243,12/11/16,12/17/16,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,15.26,7
55,CA-2016-105816,23134,12/11/16,12/17/16,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,1029.95,5
56,CA-2016-111682,56827,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,208.56,6
57,CA-2016-111682,37526,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,32.4,5
58,CA-2016-111682,6796,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,319.41,5
59,CA-2016-111682,13642,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,14.56,2
60,CA-2016-111682,17929,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,30,2
61,CA-2016-111682,52339,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,48.48,4
62,CA-2016-111682,3573,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,1.68,1
63,CA-2015-135545,2760,11/24/15,11/30/15,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,13.98,2
64,CA-2015-135545,53660,11/24/15,11/30/15,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,25.824,6
65,CA-2015-135545,50326,11/24/15,11/30/15,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,146.73,3
66,CA-2015-135545,20698,11/24/15,11/30/15,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,79.76,4
67,US-2015-164175,28381,4/30/15,5/5/15,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,213.115,5
68,CA-2014-106376,11534,12/5/14,12/10/14,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,1113.024,8
69,CA-2014-106376,10811,12/5/14,12/10/14,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,167.968,4
70,CA-2016-119823,4944,6/4/16,6/6/16,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,75.88,2
71,CA-2016-106075,2181,9/18/16,9/23/16,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,4.616,1
72,CA-2017-114440,36726,9/14/17,9/17/17,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,19.05,3
73,US-2015-134026,35586,4/26/15,5/2/15,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,831.936,8
74,US-2015-134026,14995,4/26/15,5/2/15,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,97.04,2
75,US-2015-134026,23739,4/26/15,5/2/15,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,72.784,1
76,US-2017-118038,32912,12/9/17,12/11/17,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,1.248,3
77,US-2017-118038,4298,12/9/17,12/11/17,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,9.708,3
78,US-2017-118038,6342,12/9/17,12/11/17,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,27.24,3
79,US-2014-147606,18495,11/26/14,12/1/14,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,19.3,5
80,CA-2016-127208,25305,6/12/16,6/15/16,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,208.16,1
81,CA-2016-127208,28211,6/12/16,6/15/16,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,16.74,3
82,CA-2014-139451,35659,10/12/14,10/16/14,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,14.9,5
83,CA-2014-139451,1572,10/12/14,10/16/14,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,21.39,1
84,CA-2015-149734,16903,9/3/15,9/8/15,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,200.984,7
85,US-2017-119662,42926,11/13/17,11/16/17,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,230.376,3
86,CA-2017-140088,12415,5/28/17,5/30/17,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,301.96,2
87,CA-2017-155558,56592,10/26/17,11/2/17,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,19.99,1
88,CA-2017-155558,49008,10/26/17,11/2/17,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,6.16,2
89,CA-2016-159695,26463,4/5/16,4/10/16,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,158.368,7
90,CA-2016-109806,16649,9/17/16,9/22/16,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,20.1,3
91,CA-2016-109806,28406,9/17/16,9/22/16,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,73.584,2
92,CA-2016-109806,27463,9/17/16,9/22/16,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,6.48,1
93,CA-2015-149587,50240,1/31/15,2/5/15,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,12.96,2
94,CA-2015-149587,51666,1/31/15,2/5/15,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,53.34,3
95,CA-2015-149587,32428,1/31/15,2/5/15,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,32.96,2
96,US-2017-109484,33896,11/6/17,11/12/17,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,5.682,1
97,CA-2017-161018,41907,11/9/17,11/11/17,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009,East,96.53,7
98,CA-2017-157833,35013,6/17/17,6/20/17,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,94122,West,51.312,3
99,CA-2016-149223,8910,9/6/16,9/11/16,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central,77.88,6
100,CA-2016-158568,22933,8/29/16,9/2/16,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,64.624,7
101,CA-2016-158568,19162,8/29/16,9/2/16,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,95.976,3
102,CA-2016-158568,18866,8/29/16,9/2/16,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,1.788,3
103,CA-2016-129903,23591,12/1/16,12/4/16,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901,Central,23.92,4
104,US-2015-156867,38464,11/13/15,11/17/15,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,238.896,6
105,US-2015-156867,33526,11/13/15,11/17/15,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,102.36,3
106,US-2015-156867,28636,11/13/15,11/17/15,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,36.882,3
107,CA-2017-119004,21733,11/23/17,11/28/17,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,74.112,8
108,CA-2017-119004,42550,11/23/17,11/28/17,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,27.992,1
109,CA-2017-119004,12723,11/23/17,11/28/17,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,3.304,1
110,CA-2015-129476,47344,10/15/15,10/20/15,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Orland Park,Illinois,60462,Central,339.96,5
111,CA-2017-146780,6673,12/25/17,12/30/17,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,New York City,New York,10035,East,41.96,2
112,CA-2016-128867,24107,11/3/16,11/10/16,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,75.96,2
113,CA-2016-128867,22510,11/3/16,11/10/16,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,27.24,6
114,CA-2014-115259,9557,8/25/14,8/27/14,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,40.096,14
115,CA-2014-115259,19260,8/25/14,8/27/14,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,4.72,2
116,CA-2014-115259,59299,8/25/14,8/27/14,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,23.976,3
117,CA-2014-115259,6967,8/25/14,8/27/14,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,130.464,6
118,CA-2015-110457,45736,3/2/15,3/6/15,Standard Class,DK-13090,Dave Kipp,Consumer,United States,Seattle,Washington,98103,West,787.53,3
119,US-2015-136476,22341,4/5/15,4/10/15,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Bristol,Tennessee,37620,South,157.794,1
120,CA-2016-103730,13690,6/12/16,6/15/16,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,47.04,3
121,CA-2016-103730,17816,6/12/16,6/15/16,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,30.84,4
122,CA-2016-103730,41000,6/12/16,6/15/16,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,226.56,6
123,CA-2016-103730,8786,6/12/16,6/15/16,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,115.02,9
124,CA-2016-103730,18301,6/12/16,6/15/16,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,68.04,7
125,US-2014-152030,3507,12/26/14,12/28/14,Second Class,AD-10180,Alan Dominguez,Home Office,United States,Houston,Texas,77041,Central,600.558,3
126,US-2014-134614,31128,9/20/14,9/25/14,Standard Class,PF-19165,Philip Fox,Consumer,United States,Bloomington,Illinois,61701,Central,617.7,6
127,US-2017-107272,50289,11/5/17,11/12/17,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West,2.388,2
128,US-2017-107272,25466,11/5/17,11/12/17,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West,243.992,7
129,US-2016-125969,12264,11/6/16,11/10/16,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,81.424,2
130,US-2016-125969,33065,11/6/16,11/10/16,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,238.56,3
131,US-2017-164147,14844,2/2/17,2/5/17,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,59.97,5
132,US-2017-164147,57340,2/2/17,2/5/17,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,78.304,2
133,US-2017-164147,14433,2/2/17,2/5/17,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,21.456,9
134,CA-2016-145583,22252,10/13/16,10/19/16,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,20.04,3
135,CA-2016-145583,53389,10/13/16,10/19/16,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,35.44,1
136,CA-2016-145583,55656,10/13/16,10/19/16,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,11.52,4
137,CA-2016-145583,24308,10/13/16,10/19/16,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,4.02,2
138,CA-2016-145583,57308,10/13/16,10/19/16,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,76.176,3
139,CA-2016-145583,26838,10/13/16,10/19/16,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,65.88,6
140,CA-2016-145583,25610,10/13/16,10/19/16,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,43.12,14
141,CA-2016-110366,28785,9/5/16,9/7/16,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140,East,82.8,2
142,CA-2017-106180,25149,9/18/17,9/23/17,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,8.82,3
143,CA-2017-106180,53127,9/18/17,9/23/17,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,10.86,3
144,CA-2017-106180,1608,9/18/17,9/23/17,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,143.7,3
145,CA-2017-155376,9812,12/22/17,12/27/17,Standard Class,SG-20080,Sandra Glassco,Consumer,United States,Independence,Missouri,64055,Central,839.43,3
146,CA-2015-110744,52064,9/7/15,9/12/15,Standard Class,HA-14920,Helen Andreada,Consumer,United States,Pasadena,California,91104,West,671.93,7
147,CA-2014-110072,23600,10/22/14,10/28/14,Standard Class,MG-17680,Maureen Gastineau,Home Office,United States,Newark,Ohio,43055,East,93.888,4
148,CA-2016-114489,18541,12/5/16,12/9/16,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,384.45,11
149,CA-2016-114489,37119,12/5/16,12/9/16,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,149.97,3
150,CA-2016-114489,36778,12/5/16,12/9/16,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,1951.84,8
151,CA-2016-114489,16975,12/5/16,12/9/16,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,171.55,5
152,CA-2016-158834,16156,3/13/16,3/16/16,First Class,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,85254,West,157.92,5
153,CA-2016-158834,41263,3/13/16,3/16/16,First Class,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,85254,West,203.184,2
154,CA-2015-124919,37178,5/31/15,6/2/15,First Class,SP-20650,Stephanie Phelps,Corporate,United States,San Jose,California,95123,West,58.38,7
155,CA-2015-124919,59723,5/31/15,6/2/15,First Class,SP-20650,Stephanie Phelps,Corporate,United States,San Jose,California,95123,West,105.52,4
156,CA-2015-124919,36103,5/31/15,6/2/15,First Class,SP-20650,Stephanie Phelps,Corporate,United States,San Jose,California,95123,West,80.88,6
157,CA-2015-118948,31852,5/28/15,6/3/15,Standard Class,NK-18490,Neil Knudson,Home Office,United States,Seattle,Washington,98105,West,6.63,3
158,CA-2014-104269,41477,3/1/14,3/6/14,Second Class,DB-13060,Dave Brooks,Consumer,United States,Seattle,Washington,98115,West,457.568,2
159,CA-2016-114104,48835,11/20/16,11/24/16,Standard Class,NP-18670,Nora Paige,Consumer,United States,Edmond,Oklahoma,73034,Central,14.62,2
160,CA-2016-114104,1607,11/20/16,11/24/16,Standard Class,NP-18670,Nora Paige,Consumer,United States,Edmond,Oklahoma,73034,Central,944.93,7
161,CA-2016-162733,51924,5/11/16,5/12/16,First Class,TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,90045,West,5.98,1
162,CA-2015-119697,49688,12/28/15,12/31/15,Second Class,EM-13960,Eric Murdock,Consumer,United States,Philadelphia,Pennsylvania,19134,East,54.384,2
163,CA-2016-154508,10821,11/16/16,11/20/16,Standard Class,RD-19900,Ruben Dartt,Consumer,United States,Carlsbad,New Mexico,88220,West,28.4,5
164,CA-2016-113817,17277,11/7/16,11/11/16,Standard Class,MJ-17740,Max Jones,Consumer,United States,Seattle,Washington,98115,West,27.68,2
165,CA-2014-139892,24422,9/8/14,9/12/14,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,9.936,3
166,CA-2014-139892,27519,9/8/14,9/12/14,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,8159.952,8
167,CA-2014-139892,43402,9/8/14,9/12/14,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,275.928,3
168,CA-2014-139892,12173,9/8/14,9/12/14,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,1740.06,9
169,CA-2014-139892,57350,9/8/14,9/12/14,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,32.064,6
170,CA-2014-139892,58663,9/8/14,9/12/14,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,177.98,5
171,CA-2014-139892,33907,9/8/14,9/12/14,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,143.976,3
172,CA-2014-118962,57114,8/5/14,8/9/14,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,90004,West,20.94,3
173,CA-2014-118962,48734,8/5/14,8/9/14,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,90004,West,110.96,2
174,CA-2014-118962,15317,8/5/14,8/9/14,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,90004,West,340.144,7
175,US-2014-100853,28082,9/14/14,9/19/14,Standard Class,JB-15400,Jennifer Braxton,Corporate,United States,Chicago,Illinois,60623,Central,52.448,2
176,US-2014-100853,51729,9/14/14,9/19/14,Standard Class,JB-15400,Jennifer Braxton,Corporate,United States,Chicago,Illinois,60623,Central,20.16,4
177,US-2017-152366,41383,4/21/17,4/25/17,Second Class,SJ-20500,Shirley Jackson,Consumer,United States,Houston,Texas,77036,Central,97.264,4
178,US-2015-101511,53099,11/21/15,11/23/15,Second Class,JE-15745,Joel Eaton,Consumer,United States,Newark,Ohio,43055,East,396.802,7
179,US-2015-101511,19493,11/21/15,11/23/15,Second Class,JE-15745,Joel Eaton,Consumer,United States,Newark,Ohio,43055,East,15.88,5
180,CA-2015-137225,59373,12/15/15,12/19/15,Standard Class,JK-15640,Jim Kriz,Home Office,United States,New York City,New York,10009,East,3.28,1
181,CA-2014-166191,47399,12/5/14,12/9/14,Second Class,DK-13150,David Kendrick,Corporate,United States,Decatur,Illinois,62521,Central,24.816,2
182,CA-2014-166191,27822,12/5/14,12/9/14,Second Class,DK-13150,David Kendrick,Corporate,United States,Decatur,Illinois,62521,Central,408.744,7
183,CA-2014-158274,47627,11/19/14,11/24/14,Second Class,RM-19675,Robert Marley,Home Office,United States,Monroe,Louisiana,71203,South,503.96,4
184,CA-2014-158274,13050,11/19/14,11/24/14,Second Class,RM-19675,Robert Marley,Home Office,United States,Monroe,Louisiana,71203,South,149.95,5
