id,city,customerid,date,lastname,name,orderid,productid,quantity,region,returnamount,returnquantity,returnstatus,sales,state,zip,user_id
47,Westland,18865,10/20/14,ODonnell,Patrick,146703,100046,4,Central,0,0,0,211.96,MI,48185,6
48,Dover,16900,6/20/16,Hernandez,Lena,169194,100047,3,East,0,0,0,45,DE,19901,6
49,Dover,16900,6/20/16,Hernandez,Lena,169242,100048,2,East,0,0,0,21.8,DE,19901,6
50,New Albany,13000,4/18/15,Powers,Darren,115742,100049,6,Central,0,0,0,38.22,IN,47150,6
51,New Albany,13000,4/18/15,Powers,Darren,115792,100050,6,Central,0,0,0,75.18,IN,47150,6
52,New Albany,13000,4/18/15,Powers,Darren,115793,100051,2,Central,0,0,0,6.16,IN,47150,6
53,New Albany,13000,4/18/15,Powers,Darren,115794,100052,1,Central,0,0,0,89.99,IN,47150,6
54,New York City,15265,12/11/16,Molinari,Janet,105816,100053,7,East,0,0,0,15.26,NY,10024,6
55,New York City,15265,12/11/16,Molinari,Janet,105870,100054,5,East,0,0,0,1029.95,NY,10024,6
56,Troy,21055,6/17/16,Butterfield,Ted,111682,100055,6,East,0,0,0,208.56,NY,12180,6
57,Troy,21055,6/17/16,Butterfield,Ted,111738,100056,5,East,0,0,0,32.4,NY,12180,6
58,Troy,21055,6/17/16,Butterfield,Ted,111739,100057,5,East,0,0,0,319.41,NY,12180,6
59,Troy,21055,6/17/16,Butterfield,Ted,111740,100058,2,East,0,0,0,14.56,NY,12180,6
60,Troy,21055,6/17/16,Butterfield,Ted,111741,100059,2,East,0,0,0,30,NY,12180,6
61,Troy,21055,6/17/16,Butterfield,Ted,111742,100060,4,East,0,0,0,48.48,NY,12180,6
62,Troy,21055,6/17/16,Butterfield,Ted,111743,100061,1,East,0,0,0,1.68,NY,12180,6
63,Los Angeles,16720,11/24/15,Miller,Kunst,135545,100062,2,West,0,0,0,13.98,CA,90004,6
64,Los Angeles,16720,11/24/15,Miller,Kunst,135608,100063,6,West,0,0,0,25.824,CA,90004,6
65,Los Angeles,16720,11/24/15,Miller,Kunst,135609,100064,3,West,0,0,0,146.73,CA,90004,6
66,Los Angeles,16720,11/24/15,Miller,Kunst,135610,100065,4,West,0,0,0,79.76,CA,90004,6
67,Chicago,18970,4/30/15,Stevenson,Paul,164175,100066,5,Central,0,0,0,213.115,IL,60610,6
68,Gilbert,11590,12/5/14,Sweed,Brendan,106376,100067,8,West,0,0,0,1113.024,AZ,85234,6
69,Gilbert,11590,12/5/14,Sweed,Brendan,106444,100068,4,West,0,0,0,167.968,AZ,85234,6
70,Springfield,16270,6/4/16,Daniels,Karen,119823,100069,2,South,0,0,0,75.88,VA,22153,6
71,New York City,14980,9/18/16,MacAllister,Henry,106075,100070,1,East,0,0,0,4.616,NY,10009,6
72,Jackson,21520,9/14/17,Blumstein,Tracy,114440,100071,3,Central,0,0,0,19.05,MI,49201,6
73,Memphis,15745,4/26/15,Eaton,Joel,134026,100072,8,South,0,0,0,831.936,TN,38109,6
74,Memphis,15745,4/26/15,Eaton,Joel,134099,100073,2,South,0,0,0,97.04,TN,38109,6
75,Memphis,15745,4/26/15,Eaton,Joel,134100,100074,1,South,0,0,0,72.784,TN,38109,6
76,Houston,16600,12/9/17,Brennan,Ken,118038,100075,3,Central,0,0,0,1.248,TX,77041,6
77,Houston,16600,12/9/17,Brennan,Ken,118114,100076,3,Central,0,0,0,9.708,TX,77041,6
78,Houston,16600,12/9/17,Brennan,Ken,118115,100077,3,Central,0,0,0,27.24,TX,77041,6
79,Houston,15745,11/26/14,Eaton,Joel,147606,100078,5,Central,0,0,0,19.3,TX,77070,6
80,Decatur,20770,6/12/16,Carmichael,Stewart,127208,100079,1,South,0,0,0,208.16,AL,35601,6
81,Decatur,20770,6/12/16,Carmichael,Stewart,127288,100080,3,South,0,0,0,16.74,AL,35601,6
82,San Francisco,13690,10/12/14,Noonan,Duane,139451,100081,5,West,0,0,0,14.9,CA,94122,6
83,San Francisco,13690,10/12/14,Noonan,Duane,139533,100082,1,West,0,0,0,21.39,CA,94122,6
84,Durham,16105,9/3/15,Creighton,Julie,149734,100083,7,South,0,0,0,200.984,NC,27707,6
85,Chicago,12400,11/13/17,Schild,Christopher,119662,100084,3,Central,0,0,0,230.376,IL,60623,6
86,Columbia,18865,5/28/17,ODonnell,Patrick,140088,100085,2,South,0,0,0,301.96,SC,29203,6
87,Rochester,18895,10/26/17,Gonzalez,Paul,155558,100086,1,Central,0,0,0,19.99,MN,55901,6
88,Rochester,18895,10/26/17,Gonzalez,Paul,155645,100087,2,Central,0,0,0,6.16,MN,55901,6
89,Houston,14455,4/5/16,Mitchum,Gary,159695,100088,7,Central,0,0,0,158.368,TX,77095,6
90,Los Angeles,15685,9/17/16,Sink,Jim,109806,100089,3,West,0,0,0,20.1,CA,90036,6
91,Los Angeles,15685,9/17/16,Sink,Jim,109896,100090,2,West,0,0,0,73.584,CA,90036,6
92,Los Angeles,15685,9/17/16,Sink,Jim,109897,100091,1,West,0,0,0,6.48,CA,90036,6
93,Minneapolis,16315,1/31/15,Braun,Karl,149587,100092,2,Central,0,0,0,12.96,MN,55407,6
94,Minneapolis,16315,1/31/15,Braun,Karl,149680,100093,3,Central,0,0,0,53.34,MN,55407,6
95,Minneapolis,16315,1/31/15,Braun,Karl,149681,100094,2,Central,0,0,0,32.96,MN,55407,6
96,Portland,19705,11/6/17,Barcio,Roger,109484,100095,1,West,0,0,0,5.682,OR,97206,6
97,New York City,18775,11/9/17,Norris,Parhena,161018,100096,7,East,0,0,0,96.53,NY,10009,6
98,San Francisco,16345,6/17/17,Ducich,Katherine,157833,100097,3,West,0,0,0,51.312,CA,94122,6
99,Saint Paul,13855,9/6/16,Rittenbach,Elpida,149223,100098,6,Central,0,0,0,77.88,MN,55106,6
100,Chicago,19465,8/29/16,Bensley,Rick,158568,100099,7,Central,0,0,0,64.624,IL,60610,6
101,Chicago,19465,8/29/16,Bensley,Rick,158668,100100,3,Central,0,0,0,95.976,IL,60610,6
102,Chicago,19465,8/29/16,Bensley,Rick,158669,100101,3,Central,0,0,0,1.788,IL,60610,6
103,Rochester,14470,12/1/16,Zandusky,Gary,129903,100102,4,Central,0,0,0,23.92,MN,55901,6
104,Aurora,16870,11/13/15,Cacioppo,Lena,156867,100103,6,West,0,0,0,238.896,CO,80013,6
105,Aurora,16870,11/13/15,Cacioppo,Lena,156971,100104,3,West,0,0,0,102.36,CO,80013,6
106,Aurora,16870,11/13/15,Cacioppo,Lena,156972,100105,3,West,0,0,0,36.882,CO,80013,6
107,Charlotte,15250,11/23/17,Martin,Janet,119004,100106,8,South,0,0,0,74.112,NC,28205,6
108,Charlotte,15250,11/23/17,Martin,Janet,119111,100107,1,South,0,0,0,27.992,NC,28205,6
109,Charlotte,15250,11/23/17,Martin,Janet,119112,100108,1,South,0,0,0,3.304,NC,28205,6
110,Orland Park,19060,10/15/15,Armstrong,Pete,129476,100109,5,Central,0,0,0,339.96,IL,60462,6
111,New York City,12805,12/25/17,Voltz,Cynthia,146780,100110,2,East,0,0,0,41.96,NY,10035,6
112,Urbandale,12565,11/3/16,Ludtke,Clay,128867,100111,2,Central,0,0,0,75.96,IA,50322,6
113,Urbandale,12565,11/3/16,Ludtke,Clay,128979,100112,6,Central,0,0,0,27.24,IA,50322,6
114,Columbus,19960,8/25/14,Crowe,Ryan,115259,100113,14,East,0,0,0,40.096,OH,43229,6
115,Columbus,19960,8/25/14,Crowe,Ryan,115373,100114,2,East,0,0,0,4.72,OH,43229,6
116,Columbus,19960,8/25/14,Crowe,Ryan,115374,100115,3,East,0,0,0,23.976,OH,43229,6
117,Columbus,19960,8/25/14,Crowe,Ryan,115375,100116,6,East,0,0,0,130.464,OH,43229,6
118,Seattle,13090,3/2/15,Kipp,Dave,110457,100117,3,West,0,0,0,787.53,WA,98103,6
119,Bristol,14650,4/5/15,Guthrie,Greg,136476,100118,1,South,0,0,0,157.794,TN,37620,6
120,Wilmington,20725,6/12/16,Cartwright,Steven,103730,100119,3,East,0,0,0,47.04,DE,19805,6
121,Wilmington,20725,6/12/16,Cartwright,Steven,103850,100120,4,East,0,0,0,30.84,DE,19805,6
122,Wilmington,20725,6/12/16,Cartwright,Steven,103851,100121,6,East,0,0,0,226.56,DE,19805,6
123,Wilmington,20725,6/12/16,Cartwright,Steven,103852,100122,9,East,0,0,0,115.02,DE,19805,6
124,Wilmington,20725,6/12/16,Cartwright,Steven,103853,100123,7,East,0,0,0,68.04,DE,19805,6
125,Houston,10180,12/26/14,Dominguez,Alan,152030,100124,3,Central,0,0,0,600.558,TX,77041,6
126,Bloomington,19165,9/20/14,Fox,Philip,134614,100125,6,Central,0,0,0,617.7,IL,61701,6
127,Phoenix,21610,11/5/17,Staebel,Troy,107272,100126,2,West,0,0,0,2.388,AZ,85023,6
128,Phoenix,21610,11/5/17,Staebel,Troy,107399,100127,7,West,0,0,0,243.992,AZ,85023,6
129,Los Angeles,16975,11/6/16,Shagiari,Lindsay,125969,100128,2,West,0,0,0,81.424,CA,90004,6
130,Los Angeles,16975,11/6/16,Shagiari,Lindsay,126098,100129,3,West,0,0,0,238.56,CA,90004,6
131,Columbus,13585,2/2/17,Wardle,Dorothy,164147,100130,5,East,0,0,0,59.97,OH,43229,6
132,Columbus,13585,2/2/17,Wardle,Dorothy,164278,100131,2,East,0,0,0,78.304,OH,43229,6
133,Columbus,13585,2/2/17,Wardle,Dorothy,164279,100132,9,East,0,0,0,21.456,OH,43229,6
134,Roseville,16885,10/13/16,Creighton,Lena,145583,100133,3,West,0,0,0,20.04,CA,95661,6
135,Roseville,16885,10/13/16,Creighton,Lena,145717,100134,1,West,0,0,0,35.44,CA,95661,6
136,Roseville,16885,10/13/16,Creighton,Lena,145718,100135,4,West,0,0,0,11.52,CA,95661,6
137,Roseville,16885,10/13/16,Creighton,Lena,145719,100136,2,West,0,0,0,4.02,CA,95661,6
138,Roseville,16885,10/13/16,Creighton,Lena,145720,100137,3,West,0,0,0,76.176,CA,95661,6
139,Roseville,16885,10/13/16,Creighton,Lena,145721,100138,6,West,0,0,0,65.88,CA,95661,6
140,Roseville,16885,10/13/16,Creighton,Lena,145722,100139,14,West,0,0,0,43.12,CA,95661,6
141,Philadelphia,15895,9/5/16,Doherty,Jonathan,110366,100140,2,East,0,0,0,82.8,PA,19140,6
142,San Francisco,19975,9/18/17,Hughsby,Sally,106180,100141,3,West,0,0,0,8.82,CA,94122,6
143,San Francisco,19975,9/18/17,Hughsby,Sally,106322,100142,3,West,0,0,0,10.86,CA,94122,6
144,San Francisco,19975,9/18/17,Hughsby,Sally,106323,100143,3,West,0,0,0,143.7,CA,94122,6
145,Independence,20080,12/22/17,Glassco,Sandra,155376,100144,3,Central,0,0,0,839.43,MO,64055,6
146,Pasadena,14920,9/7/15,Andreada,Helen,110744,100145,7,West,0,0,0,671.93,CA,91104,6
147,Newark,17680,10/22/14,Gastineau,Maureen,110072,100146,4,East,0,0,0,93.888,OH,43055,6
148,Franklin,16165,12/5/16,Ellison,Justin,114489,100147,11,Central,0,0,0,384.45,WI,53132,6
149,Franklin,16165,12/5/16,Ellison,Justin,114637,100148,3,Central,0,0,0,149.97,WI,53132,6
150,Franklin,16165,12/5/16,Ellison,Justin,114638,100149,8,Central,0,0,0,1951.84,WI,53132,6
151,Franklin,16165,12/5/16,Ellison,Justin,114639,100150,5,Central,0,0,0,171.55,WI,53132,6
152,Scottsdale,21025,3/13/16,Willingham,Tamara,158834,100151,5,West,0,0,0,157.92,AZ,85254,6
153,Scottsdale,21025,3/13/16,Willingham,Tamara,158986,100152,2,West,0,0,0,203.184,AZ,85254,6
154,San Jose,20650,5/31/15,Phelps,Stephanie,124919,100153,7,West,0,0,0,58.38,CA,95123,6
155,San Jose,20650,5/31/15,Phelps,Stephanie,125073,100154,4,West,0,0,0,105.52,CA,95123,6
156,San Jose,20650,5/31/15,Phelps,Stephanie,125074,100155,6,West,0,0,0,80.88,CA,95123,6
157,Seattle,18490,5/28/15,Knudson,Neil,118948,100156,3,West,0,0,0,6.63,WA,98105,6
158,Seattle,13060,3/1/14,Brooks,Dave,104269,100157,2,West,0,0,0,457.568,WA,98115,6
159,Edmond,18670,11/20/16,Paige,Nora,114104,100158,2,Central,0,0,0,14.62,OK,73034,6
160,Edmond,18670,11/20/16,Paige,Nora,114263,100159,7,Central,0,0,0,944.93,OK,73034,6
161,Los Angeles,21070,5/11/16,Trevino,Ted,162733,100160,1,West,0,0,0,5.98,CA,90045,6
162,Philadelphia,13960,12/28/15,Murdock,Eric,119697,100161,2,East,0,0,0,54.384,PA,19134,6
163,Carlsbad,19900,11/16/16,Dartt,Ruben,154508,100162,5,West,0,0,0,28.4,NM,88220,6
164,Seattle,17740,11/7/16,Jones,Max,113817,100163,2,West,0,0,0,27.68,WA,98115,6
165,San Antonio,11140,9/8/14,Martin,Becky,139892,100164,3,Central,0,0,0,9.936,TX,78207,6
166,San Antonio,11140,9/8/14,Martin,Becky,140057,100165,8,Central,0,0,0,8159.952,TX,78207,6
167,San Antonio,11140,9/8/14,Martin,Becky,140058,100166,3,Central,0,0,0,275.928,TX,78207,6
168,San Antonio,11140,9/8/14,Martin,Becky,140059,100167,9,Central,0,0,0,1740.06,TX,78207,6
169,San Antonio,11140,9/8/14,Martin,Becky,140060,100168,6,Central,0,0,0,32.064,TX,78207,6
170,San Antonio,11140,9/8/14,Martin,Becky,140061,100169,5,Central,0,0,0,177.98,TX,78207,6
171,San Antonio,11140,9/8/14,Martin,Becky,140062,100170,3,Central,0,0,0,143.976,TX,78207,6
172,Los Angeles,12130,8/5/14,Sievert,Chad,118962,100171,3,West,0,0,0,20.94,CA,90004,6
173,Los Angeles,12130,8/5/14,Sievert,Chad,119134,100172,2,West,0,0,0,110.96,CA,90004,6
174,Los Angeles,12130,8/5/14,Sievert,Chad,119135,100173,7,West,0,0,0,340.144,CA,90004,6
175,Chicago,15400,9/14/14,Braxton,Jennifer,100853,100174,2,Central,0,0,0,52.448,IL,60623,6
176,Chicago,15400,9/14/14,Braxton,Jennifer,101028,100175,4,Central,0,0,0,20.16,IL,60623,6
177,Houston,20500,4/21/17,Jackson,Shirley,152366,100176,4,Central,0,0,0,97.264,TX,77036,6
178,Newark,15745,11/21/15,Eaton,Joel,101511,100177,7,East,0,0,0,396.802,OH,43055,6
179,Newark,15745,11/21/15,Eaton,Joel,101689,100178,5,East,0,0,0,15.88,OH,43055,6
180,New York City,15640,12/15/15,Kriz,Jim,137225,100179,1,East,0,0,0,3.28,NY,10009,6
181,Decatur,13150,12/5/14,Kendrick,David,166191,100180,2,Central,0,0,0,24.816,IL,62521,6
182,Decatur,13150,12/5/14,Kendrick,David,166372,100181,7,Central,0,0,0,408.744,IL,62521,6
183,Monroe,19675,11/19/14,Marley,Robert,158274,100182,4,South,0,0,0,503.96,LA,71203,6
184,Monroe,19675,11/19/14,Marley,Robert,158457,100183,5,South,0,0,0,149.95,LA,71203,6
185,Monroe,19675,11/19/14,Marley,Robert,158458,100184,2,South,0,0,0,29,LA,71203,6
186,Fairfield,19990,11/28/16,Knutson,Sally,105018,100185,2,East,0,0,0,7.16,CT,6824,6
187,Los Angeles,14290,8/26/14,Merwin,Frank,123260,100186,8,West,0,0,0,176.8,CA,90032,6
188,Grand Prairie,10360,7/16/16,McCarthy,Alice,157000,100187,3,Central,0,0,0,37.224,TX,75051,6
189,Grand Prairie,10360,7/16/16,McCarthy,Alice,157188,100188,3,Central,0,0,0,20.016,TX,75051,6
190,New York City,17470,10/12/15,Packer,Mark,102281,100189,4,East,0,0,0,899.136,NY,10035,6
191,New York City,17470,10/12/15,Packer,Mark,102471,100190,6,East,0,0,0,71.76,NY,10035,6
192,New York City,17470,10/12/15,Packer,Mark,102472,100191,8,East,0,0,0,51.84,NY,10035,6
193,New York City,17470,10/12/15,Packer,Mark,102473,100192,3,East,0,0,0,626.352,NY,10035,6
194,New York City,17470,10/12/15,Packer,Mark,102474,100193,5,East,0,0,0,19.9,NY,10035,6
195,Redlands,17515,10/31/15,Zewe,Mary,131457,100194,7,West,0,0,0,14.28,CA,92374,6
196,Hamilton,12025,3/21/14,Brandow,Cassandra,140004,100195,2,East,0,0,0,7.408,OH,45011,6
197,Hamilton,12025,3/21/14,Brandow,Cassandra,140200,100196,3,East,0,0,0,6.048,OH,45011,6
198,Westfield,21685,11/6/17,Mitchum,Valerie,107720,100197,3,East,0,0,0,46.26,NJ,7090,6
199,Philadelphia,14365,7/6/17,Hopkins,Fred,124303,100198,2,East,0,0,0,2.946,PA,19120,6
200,Philadelphia,14365,7/6/17,Hopkins,Fred,124502,100199,3,East,0,0,0,16.056,PA,19120,6
201,Akron,17305,6/24/17,Bertelson,Maria,105074,100200,3,East,0,0,0,21.744,OH,44312,6
202,Denver,11755,8/3/14,Stewart,Bruce,133690,100201,2,West,0,0,0,218.75,CO,80219,6
203,Denver,11755,8/3/14,Stewart,Bruce,133892,100202,1,West,0,0,0,2.6,CO,80219,6
204,Dallas,17140,12/17/17,Currie,Logan,116701,100203,2,Central,0,0,0,66.284,TX,75220,6
205,Franklin,14890,6/3/17,Kirkland,Heather,126382,100204,7,South,0,0,0,35.168,TN,37064,6
206,Whittier,16810,12/9/17,Elliston,Laurel,108329,100205,4,West,0,0,0,444.768,CA,90604,6
207,Saginaw,15985,12/1/17,Holt,Joseph,135860,100206,4,Central,0,0,0,83.92,MI,48601,6
208,Saginaw,15985,12/1/17,Holt,Joseph,136067,100207,2,Central,0,0,0,131.98,MI,48601,6
209,Saginaw,15985,12/1/17,Holt,Joseph,136068,100208,4,Central,0,0,0,15.92,MI,48601,6
210,Saginaw,15985,12/1/17,Holt,Joseph,136069,100209,9,Central,0,0,0,52.29,MI,48601,6
211,Saginaw,15985,12/1/17,Holt,Joseph,136070,100210,1,Central,0,0,0,91.99,MI,48601,6
212,Dallas,17980,2/9/15,Stewart,Michael,101007,100211,2,Central,0,0,0,20.8,TX,75220,6
213,Medina,21775,1/2/15,Wilson,Victoria,146262,100212,2,East,0,0,0,23.68,OH,44256,6
214,Medina,21775,1/2/15,Wilson,Victoria,146475,100213,5,East,0,0,0,452.45,OH,44256,6
215,Medina,21775,1/2/15,Wilson,Victoria,146476,100214,3,East,0,0,0,62.982,OH,44256,6
216,Medina,21775,1/2/15,Wilson,Victoria,146477,100215,9,East,0,0,0,1188,OH,44256,6
217,Medina,21775,1/2/15,Wilson,Victoria,146478,100216,2,East,0,0,0,89.584,OH,44256,6
218,Los Angeles,15910,10/28/16,Howell,Jonathan,130162,100217,6,West,0,0,0,93.06,CA,90032,6
219,Los Angeles,15910,10/28/16,Howell,Jonathan,130380,100218,3,West,0,0,0,302.376,CA,90032,6
220,Dublin,15925,12/24/15,Blumstein,Joni,169397,100219,2,East,0,0,0,5.584,OH,43017,6
221,Dublin,15925,12/24/15,Blumstein,Joni,169617,100220,6,East,0,0,0,22.704,OH,43017,6
222,Dublin,15925,12/24/15,Blumstein,Joni,169618,100221,4,East,0,0,0,19.776,OH,43017,6
223,Dublin,15925,12/24/15,Blumstein,Joni,169619,100222,4,East,0,0,0,72.704,OH,43017,6
224,Dublin,15925,12/24/15,Blumstein,Joni,169620,100223,4,East,0,0,0,479.988,OH,43017,6
225,Dublin,15925,12/24/15,Blumstein,Joni,169621,100224,2,East,0,0,0,27.168,OH,43017,6
226,Detroit,13180,8/9/15,Smith,David,163055,100225,1,Central,0,0,0,2.2,MI,48227,6
227,Detroit,13180,8/9/15,Smith,David,163281,100226,5,Central,0,0,0,622.45,MI,48227,6
228,Detroit,13180,8/9/15,Smith,David,163282,100227,1,Central,0,0,0,21.98,MI,48227,6
229,Columbia,21670,2/28/15,Dominguez,Valerie,145436,100228,2,South,0,0,0,161.568,TN,38401,6
230,Columbia,21670,2/28/15,Dominguez,Valerie,145665,100229,8,South,0,0,0,389.696,TN,38401,6
231,Charlotte,14035,9/13/14,Ashbrook,Erin,156216,100230,7,South,0,0,0,18.648,NC,28205,6
232,Tampa,12400,4/7/17,Schild,Christopher,100930,100231,2,South,0,0,0,233.86,FL,33614,6
233,Tampa,12400,4/7/17,Schild,Christopher,101162,100232,3,South,0,0,0,620.6145,FL,33614,6
234,Tampa,12400,4/7/17,Schild,Christopher,101163,100233,2,South,0,0,0,5.328,FL,33614,6
235,Tampa,12400,4/7/17,Schild,Christopher,101164,100234,3,South,0,0,0,258.072,FL,33614,6
236,Tampa,12400,4/7/17,Schild,Christopher,101165,100235,3,South,0,0,0,617.976,FL,33614,6
237,Santa Clara,13120,11/12/17,Bremer,David,160514,100236,2,West,0,0,0,10.56,CA,95051,6
238,Chicago,16645,6/4/16,Lonsdale,Ken,157749,100237,5,Central,0,0,0,25.92,IL,60610,6
239,Chicago,16645,6/4/16,Lonsdale,Ken,157987,100238,5,Central,0,0,0,419.68,IL,60610,6
240,Chicago,16645,6/4/16,Lonsdale,Ken,157988,100239,3,Central,0,0,0,11.688,IL,60610,6
241,Chicago,16645,6/4/16,Lonsdale,Ken,157989,100240,2,Central,0,0,0,31.984,IL,60610,6
242,Chicago,16645,6/4/16,Lonsdale,Ken,157990,100241,5,Central,0,0,0,177.225,IL,60610,6
243,Chicago,16645,6/4/16,Lonsdale,Ken,157991,100242,3,Central,0,0,0,4.044,IL,60610,6
244,Chicago,16645,6/4/16,Lonsdale,Ken,157992,100243,2,Central,0,0,0,7.408,IL,60610,6
245,Lakeville,13480,6/1/14,Wilson,Dianna,131926,100244,7,Central,0,0,0,2001.86,MN,55044,6
246,Lakeville,13480,6/1/14,Wilson,Dianna,132171,100245,2,Central,0,0,0,166.72,MN,55044,6
247,Lakeville,13480,6/1/14,Wilson,Dianna,132172,100246,6,Central,0,0,0,47.88,MN,55044,6
248,Lakeville,13480,6/1/14,Wilson,Dianna,132173,100247,5,Central,0,0,0,1503.25,MN,55044,6
249,Lakeville,13480,6/1/14,Wilson,Dianna,132174,100248,4,Central,0,0,0,25.92,MN,55044,6
250,San Francisco,17155,12/10/16,Haushalter,Logan,154739,100249,2,West,0,0,0,321.568,CA,94109,6
251,San Diego,16540,9/11/16,Collister,Kelly,145625,100250,1,West,0,0,0,7.61,CA,92037,6
252,San Diego,16540,9/11/16,Collister,Kelly,145876,100251,13,West,0,0,0,3347.37,CA,92037,6
253,New York City,13315,12/10/16,Latchford,Delfina,146941,100252,6,East,0,0,0,80.58,NY,10024,6
254,New York City,13315,12/10/16,Latchford,Delfina,147194,100253,4,East,0,0,0,361.92,NY,10024,6
255,Chicago,12880,11/28/15,Reichenbach,Dan,159982,100254,9,Central,0,0,0,12.132,IL,60623,6
